Tag,filename,Month,Level
31,2011,Januar,344.0
1,2012,Januar,379.0
2,2012,Januar,392.0
3,2012,Januar,432.0
4,2012,Januar,537.0
5,2012,Januar,564.0
6,2012,Januar,599.0
7,2012,Januar,688.0
8,2012,Januar,734.0
9,2012,Januar,730.0
10,2012,Januar,687.0
11,2012,Januar,637.0
12,2012,Januar,584.0
13,2012,Januar,535.0
14,2012,Januar,491.0
15,2012,Januar,453.0
16,2012,Januar,420.0
17,2012,Januar,386.0
18,2012,Januar,366.0
19,2012,Januar,342.0
20,2012,Januar,341.0
21,2012,Januar,377.0
22,2012,Januar,451.0
23,2012,Januar,552.0
24,2012,Januar,614.0
25,2012,Januar,639.0
26,2012,Januar,615.0
27,2012,Januar,571.0
28,2012,Januar,524.0
29,2012,Januar,477.0
30,2012,Januar,428.0
31,2012,Januar,406.0
1,2013,Januar,672.0
2,2013,Januar,624.0
3,2013,Januar,579.0
4,2013,Januar,536.0
5,2013,Januar,497.0
6,2013,Januar,465.0
7,2013,Januar,437.0
8,2013,Januar,419.0
9,2013,Januar,410.0
10,2013,Januar,400.0
11,2013,Januar,383.0
12,2013,Januar,370.0
13,2013,Januar,363.0
14,2013,Januar,357.0
15,2013,Januar,350.0
16,2013,Januar,334.0
17,2013,Januar,316.0
18,2013,Januar,304.0
19,2013,Januar,293.0
20,2013,Januar,283.0
21,2013,Januar,275.0
22,2013,Januar,270.0
23,2013,Januar,261.0
24,2013,Januar,258.0
25,2013,Januar,254.0
26,2013,Januar,247.0
27,2013,Januar,238.0
28,2013,Januar,235.0
29,2013,Januar,230.0
30,2013,Januar,246.0
31,2013,Januar,365.0
1,2014,Januar,425.0
2,2014,Januar,397.0
3,2014,Januar,368.0
4,2014,Januar,363.0
5,2014,Januar,365.0
6,2014,Januar,358.0
7,2014,Januar,369.0
8,2014,Januar,393.0
9,2014,Januar,402.0
10,2014,Januar,388.0
11,2014,Januar,372.0
12,2014,Januar,362.0
13,2014,Januar,348.0
14,2014,Januar,335.0
15,2014,Januar,317.0
16,2014,Januar,312.0
17,2014,Januar,313.0
18,2014,Januar,315.0
19,2014,Januar,312.0
20,2014,Januar,311.0
21,2014,Januar,306.0
22,2014,Januar,294.0
23,2014,Januar,292.0
24,2014,Januar,289.0
25,2014,Januar,286.0
26,2014,Januar,286.0
27,2014,Januar,297.0
28,2014,Januar,304.0
29,2014,Januar,337.0
30,2014,Januar,352.0
31,2014,Januar,341.0
1,2015,Januar,272.0
2,2015,Januar,259.0
3,2015,Januar,263.0
4,2015,Januar,276.0
5,2015,Januar,324.0
6,2015,Januar,445.0
7,2015,Januar,527.0
8,2015,Januar,510.0
9,2015,Januar,467.0
10,2015,Januar,463.0
11,2015,Januar,501.0
12,2015,Januar,534.0
13,2015,Januar,553.0
14,2015,Januar,565.0
15,2015,Januar,535.0
16,2015,Januar,516.0
17,2015,Januar,500.0
18,2015,Januar,494.0
19,2015,Januar,500.0
20,2015,Januar,508.0
21,2015,Januar,484.0
22,2015,Januar,448.0
23,2015,Januar,419.0
24,2015,Januar,394.0
25,2015,Januar,368.0
26,2015,Januar,350.0
27,2015,Januar,336.0
28,2015,Januar,340.0
29,2015,Januar,355.0
30,2015,Januar,372.0
31,2015,Januar,400.0
1,2016,Januar,121.0
2,2016,Januar,115.0
3,2016,Januar,112.0
4,2016,Januar,114.0
5,2016,Januar,130.0
6,2016,Januar,165.0
7,2016,Januar,206.0
8,2016,Januar,265.0
9,2016,Januar,286.0
10,2016,Januar,299.0
11,2016,Januar,298.0
12,2016,Januar,314.0
13,2016,Januar,383.0
14,2016,Januar,465.0
15,2016,Januar,518.0
16,2016,Januar,513.0
17,2016,Januar,479.0
18,2016,Januar,436.0
19,2016,Januar,390.0
20,2016,Januar,339.0
21,2016,Januar,314.0
22,2016,Januar,291.0
23,2016,Januar,274.0
24,2016,Januar,255.0
25,2016,Januar,247.0
26,2016,Januar,251.0
27,2016,Januar,262.0
28,2016,Januar,266.0
29,2016,Januar,270.0
30,2016,Januar,273.0
31,2016,Januar,286.0
1,2017,Januar,79.0
2,2017,Januar,77.0
3,2017,Januar,74.0
4,2017,Januar,73.0
5,2017,Januar,73.0
6,2017,Januar,77.0
7,2017,Januar,78.0
8,2017,Januar,75.0
9,2017,Januar,69.0
10,2017,Januar,68.0
11,2017,Januar,71.0
12,2017,Januar,76.0
13,2017,Januar,87.0
14,2017,Januar,112.0
15,2017,Januar,145.0
16,2017,Januar,161.0
17,2017,Januar,152.0
18,2017,Januar,138.0
19,2017,Januar,117.0
20,2017,Januar,103.0
21,2017,Januar,92.0
22,2017,Januar,86.0
23,2017,Januar,86.0
24,2017,Januar,78.0
25,2017,Januar,75.0
26,2017,Januar,73.0
27,2017,Januar,71.0
28,2017,Januar,71.0
29,2017,Januar,76.0
30,2017,Januar,77.0
31,2017,Januar,89.0
1,2019,Januar,288.0
2,2019,Januar,261.0
3,2019,Januar,242.0
4,2019,Januar,228.0
5,2019,Januar,218.0
6,2019,Januar,207.0
7,2019,Januar,205.0
8,2019,Januar,207.0
9,2019,Januar,241.0
10,2019,Januar,271.0
11,2019,Januar,274.0
12,2019,Januar,275.0
13,2019,Januar,268.0
14,2019,Januar,286.0
15,2019,Januar,334.0
16,2019,Januar,438.0
17,2019,Januar,505.0
18,2019,Januar,478.0
19,2019,Januar,427.0
20,2019,Januar,375.0
21,2019,Januar,340.0
22,2019,Januar,308.0
23,2019,Januar,279.0
24,2019,Januar,256.0
25,2019,Januar,243.0
26,2019,Januar,230.0
27,2019,Januar,219.0
28,2019,Januar,217.0
29,2019,Januar,241.0
30,2019,Januar,279.0
31,2019,Januar,281.0
1,2020,Januar,382.0
